date,g,f,R
2000-01-01,4.0,12.0,52.0
2000-01-02,4.0,10.0,50.0
2000-01-03,4.0,17.0,57.0
2000-01-04,5.0,14.0,64.0
2000-01-05,7.0,20.0,90.0
2000-01-10,5.0,10.0,60.0
2000-01-11,7.0,25.0,95.0
2000-01-14,13.0,38.0,168.0
2000-01-15,10.0,45.0,145.0
2000-01-18,7.0,25.0,95.0
2000-01-20,7.0,26.0,96.0
2000-01-20,8.0,33.0,113.0
2000-01-22,9.0,25.0,115.0
2000-01-23,8.0,15.0,95.0
2000-01-24,6.0,16.0,76.0
2000-01-26,6.0,17.0,77.0
2000-01-27,3.0,16.0,46.0
2000-01-28,4.0,16.0,56.0
2000-01-29,5.0,13.0,63.0
2000-01-30,5.0,10.0,60.0
2000-01-30,6.0,12.0,72.0
2000-02-01,6.0,21.0,81.0
2000-02-02,5.0,15.0,65.0
2000-02-03,5.0,11.0,61.0
2000-02-03,9.0,21.0,111.0
2000-02-05,11.0,31.0,141.0
2000-02-07,12.0,36.0,156.0
2000-02-08,11.0,28.0,138.0
2000-02-09,9.0,21.0,111.0
2000-02-10,10.0,22.0,122.0
2000-02-11,9.0,20.0,110.0
2000-02-12,9.0,20.0,110.0
2000-02-13,9.0,19.0,109.0
2000-02-15,10.0,21.0,121.0
2000-02-16,11.0,26.0,136.0
2000-02-17,9.0,25.0,115.0
2000-02-17,9.0,22.0,112.0
2000-02-21,5.0,20.0,70.0
2000-02-22,8.0,22.0,102.0
2000-02-23,7.0,22.0,92.0
2000-02-24,9.0,23.0,113.0
2000-02-24,10.0,41.0,141.0
2000-02-27,12.0,42.0,162.0
2000-02-28,10.0,29.0,129.0
2000-02-29,13.0,45.0,175.0
2000-03-29,11.0,32.0,142.0
2000-03-02,7.0,23.0,93.0
2000-03-02,8.0,41.0,121.0
2000-03-07,11.0,31.0,141.0
2000-03-08,8.0,19.0,99.0
2000-03-09,10.0,33.0,133.0
2000-03-09,12.0,46.0,166.0
2000-03-13,10.0,35.0,135.0
